,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
15489,1cg-1.1.1.2.2.2.1.2.1,migration,1.0,1cg-1.1.1.2.2.2.1.2.2,migration,1.0,True,0.0,0.9,TMZ
15490,1cg-1.1.1.2.2.2.2.1,migration,0.0,1cg-1.1.1.2.2.2.2.2,migration,0.0,True,0.0,0.9,TMZ
15491,1cg-1.1.2.1,division,18.0,1cg-1.1.2.2,division,17.0,True,1.0,0.9,TMZ
15492,1cg-1.1.2.1.1,division,23.0,1cg-1.1.2.1.2,division,15.0,True,8.0,0.9,TMZ
15493,1cg-1.1.2.1.1.1,division,29.0,1cg-1.1.2.1.1.2,migration,35.0,False,6.0,0.9,TMZ
15494,1cg-1.1.2.1.1.1.1,migration,5.0,1cg-1.1.2.1.1.1.2,migration,5.0,True,0.0,0.9,TMZ
15495,1cg-1.1.2.1.2.1,division,28.0,1cg-1.1.2.1.2.2,division,16.0,True,12.0,0.9,TMZ
15496,1cg-1.1.2.1.2.1.1,migration,14.0,1cg-1.1.2.1.2.1.2,migration,14.0,True,0.0,0.9,TMZ
15497,1cg-1.1.2.1.2.2.1,division,24.0,1cg-1.1.2.1.2.2.2,division,10.0,True,14.0,0.9,TMZ
15498,1cg-1.1.2.1.2.2.1.1,migration,1.0,1cg-1.1.2.1.2.2.1.2,migration,1.0,True,0.0,0.9,TMZ
15499,1cg-1.1.2.1.2.2.2.1,division,9.0,1cg-1.1.2.1.2.2.2.2,division,11.0,True,2.0,0.9,TMZ
15500,1cg-1.1.2.1.2.2.2.1.1,migration,5.0,1cg-1.1.2.1.2.2.2.1.2,migration,5.0,True,0.0,0.9,TMZ
15501,1cg-1.1.2.1.2.2.2.2.1,migration,3.0,1cg-1.1.2.1.2.2.2.2.2,migration,3.0,True,0.0,0.9,TMZ
15502,1cg-1.1.2.2.1,division,21.0,1cg-1.1.2.2.2,division,15.0,True,6.0,0.9,TMZ
15503,1cg-1.1.2.2.1.1,division,6.0,1cg-1.1.2.2.1.2,division,25.0,True,19.0,0.9,TMZ
15504,1cg-1.1.2.2.1.1.1,division,21.0,1cg-1.1.2.2.1.1.2,division,5.0,True,16.0,0.9,TMZ
15505,1cg-1.1.2.2.1.1.1.1,migration,9.0,1cg-1.1.2.2.1.1.1.2,migration,9.0,True,0.0,0.9,TMZ
15506,1cg-1.1.2.2.1.1.2.1,division,14.0,1cg-1.1.2.2.1.1.2.2,division,24.0,True,10.0,0.9,TMZ
15507,1cg-1.1.2.2.1.1.2.1.1,migration,10.0,1cg-1.1.2.2.1.1.2.1.2,migration,10.0,True,0.0,0.9,TMZ
15508,1cg-1.1.2.2.1.1.2.2.1,migration,0.0,1cg-1.1.2.2.1.1.2.2.2,migration,0.0,True,0.0,0.9,TMZ
15509,1cg-1.1.2.2.1.2.1,migration,12.0,1cg-1.1.2.2.1.2.2,migration,12.0,True,0.0,0.9,TMZ
15510,1cg-1.1.2.2.2.1,division,2.0,1cg-1.1.2.2.2.2,division,26.0,True,24.0,0.9,TMZ
15511,1cg-1.1.2.2.2.1.1,division,17.0,1cg-1.1.2.2.2.1.2,division,21.0,True,4.0,0.9,TMZ
15512,1cg-1.1.2.2.2.1.1.1,division,16.0,1cg-1.1.2.2.2.1.1.2,migration,23.0,False,7.0,0.9,TMZ
15513,1cg-1.1.2.2.2.1.1.1.1,migration,6.0,1cg-1.1.2.2.2.1.1.1.2,migration,6.0,True,0.0,0.9,TMZ
15514,1cg-1.1.2.2.2.1.2.1,division,18.0,1cg-1.1.2.2.2.1.2.2,migration,19.0,False,1.0,0.9,TMZ
15515,1cg-1.1.2.2.2.1.2.1.1,migration,0.0,1cg-1.1.2.2.2.1.2.1.2,migration,0.0,True,0.0,0.9,TMZ
15516,1cg-1.1.2.2.2.2.1,migration,17.0,1cg-1.1.2.2.2.2.2,division,3.0,False,14.0,0.9,TMZ
15517,1cg-1.1.2.2.2.2.2.1,division,10.0,1cg-1.1.2.2.2.2.2.2,migration,13.0,False,3.0,0.9,TMZ
15518,1cg-1.1.2.2.2.2.2.1.1,migration,2.0,1cg-1.1.2.2.2.2.2.1.2,migration,2.0,True,0.0,0.9,TMZ
15519,1cg-1.2.1,division,21.0,1cg-1.2.2,division,21.0,True,0.0,0.9,TMZ
15520,1cg-1.2.1.1,division,17.0,1cg-1.2.1.2,division,17.0,True,0.0,0.9,TMZ
15521,1cg-1.2.1.1.1,division,24.0,1cg-1.2.1.1.2,division,27.0,True,3.0,0.9,TMZ
15522,1cg-1.2.1.1.1.1,division,20.0,1cg-1.2.1.1.1.2,division,12.0,True,8.0,0.9,TMZ
15523,1cg-1.2.1.1.1.1.1,migration,14.0,1cg-1.2.1.1.1.1.2,division,13.0,False,1.0,0.9,TMZ
15524,1cg-1.2.1.1.1.1.2.1,migration,0.0,1cg-1.2.1.1.1.1.2.2,migration,0.0,True,0.0,0.9,TMZ
15525,1cg-1.2.1.1.1.2.1,division,14.0,1cg-1.2.1.1.1.2.2,division,20.0,True,6.0,0.9,TMZ
15526,1cg-1.2.1.1.1.2.1.1,migration,7.0,1cg-1.2.1.1.1.2.1.2,migration,7.0,True,0.0,0.9,TMZ
15527,1cg-1.2.1.1.1.2.2.1,migration,1.0,1cg-1.2.1.1.1.2.2.2,division,0.0,False,1.0,0.9,TMZ
15528,1cg-1.2.1.1.1.2.2.2.1,migration,0.0,1cg-1.2.1.1.1.2.2.2.2,migration,0.0,True,0.0,0.9,TMZ
15529,1cg-1.2.1.1.2.1,division,21.0,1cg-1.2.1.1.2.2,division,22.0,True,1.0,0.9,TMZ
