index,id,name,size,seconds_since_birth,signal_mean,signal_std,simulation_frames,simulation_seconds,simulation_hours,simulation_days
13655,55,1bd,16,489600,-0.6502000865439775,0.2882648317658992,136,489600,136.0,5.666666666666667
13656,56,1be,16,489600,0.10373346830998395,0.622578440096637,136,489600,136.0,5.666666666666667
13657,57,1bf,32,489600,-0.21369553110459577,0.4488354126669715,136,489600,136.0,5.666666666666667
13658,58,1bg,32,489600,0.05320134736362911,0.5671586420844958,136,489600,136.0,5.666666666666667
13659,59,1bh,64,489600,0.29645106378884845,0.4921991248487825,136,489600,136.0,5.666666666666667
13660,60,1bi,32,489600,-0.31995273348864023,0.27140900330015655,136,489600,136.0,5.666666666666667
13661,61,1bj,16,489600,-0.3698096246542889,0.3443778123129572,136,489600,136.0,5.666666666666667
13662,62,1bk,16,489600,-0.6897020799538934,0.25898349658507264,136,489600,136.0,5.666666666666667
13663,63,1bl,16,489600,-0.12777611565364008,0.45572385913367347,136,489600,136.0,5.666666666666667
13664,64,1bm,16,489600,-0.3903773511205678,0.3722470044954359,136,489600,136.0,5.666666666666667
13665,65,1bn,32,489600,-0.11945940843076,0.5101680694543038,136,489600,136.0,5.666666666666667
13666,66,1bo,16,489600,0.06031939171236035,0.5052133862190142,136,489600,136.0,5.666666666666667
13667,67,1bp,32,489600,0.48879878351905415,0.3309479852900113,136,489600,136.0,5.666666666666667
13668,68,1bq,16,489600,-0.7492505465443156,0.18275945640953672,136,489600,136.0,5.666666666666667
13669,69,1br,16,489600,0.12431358517073553,0.7012606239320355,136,489600,136.0,5.666666666666667
13670,70,1bs,92,489600,-0.04196374456357541,0.4063095619608565,136,489600,136.0,5.666666666666667
13671,71,1bt,16,489600,-0.5538456477083011,0.22924761586528689,136,489600,136.0,5.666666666666667
13672,72,1bu,32,489600,0.1288936661170816,0.3691421151389561,136,489600,136.0,5.666666666666667
13673,73,1bv,106,489600,-0.318933122896509,0.48518037376154877,136,489600,136.0,5.666666666666667
13674,74,1bw,32,489600,0.3357162016060298,0.3804977111942428,136,489600,136.0,5.666666666666667
13675,75,1bx,32,489600,-0.19727885872319403,0.4504774514106838,136,489600,136.0,5.666666666666667
